player,team,stat_type,prizepicks_line,over_odds_ud,under_odds_ud,dk_odds_over,dk_odds_under,max_edge,suggestion
jackson holliday,BAL,Hits+Runs+RBIs,1.5,-118,-115,−135,+100,-0.005,OVER
elly de la cruz,CIN,Hits+Runs+RBIs,2.5,-110,-124,−105,−130,-0.005,UNDER
maikel garcia,KC,Hits+Runs+RBIs,1.5,-129,-106,−125,−110,-0.005,OVER
mark vientos,NYM,Hits+Runs+RBIs,1.5,-132,-104,−120,−110,-0.005,OVER
salvador perez,KC,Hits+Runs+RBIs,1.5,-115,-117,−135,+100,-0.007,OVER
isaac paredes,HOU,Hits+Runs+RBIs,1.5,-107,-127,−110,−125,-0.007,UNDER
manny machado,SD,Hits+Runs+RBIs,1.5,-132,-104,−120,−115,-0.008,OVER
masyn winn,STL,Hits+Runs+RBIs,1.5,-109,-125,,,-0.008,UNDER
cody bellinger,NYY,Hits+Runs+RBIs,1.5,-125,-108,−125,−110,-0.008,OVER
matt olson,ATL,Hits+Runs+RBIs,1.5,-109,-125,,,-0.008,UNDER
matt wallner,MIN,Hits+Runs+RBIs,1.5,-107,-127,−110,−120,-0.009,UNDER
alejandro osuna,TEX,Hits+Runs+RBIs,0.5,-114,-120,−135,+100,-0.009,OVER
andrew benintendi,CWS,Hits+Runs+RBIs,1.5,-105,-130,−115,−120,-0.009,UNDER
roman anthony,BOS,Hits+Runs+RBIs,1.5,-112,-122,−105,−125,-0.009,UNDER
taylor ward,LAA,Hits+Runs+RBIs,1.5,-110,-122,−110,−125,-0.01,UNDER
teoscar hernandez,LAD,Hits+Runs+RBIs,1.5,-115,-118,−105,−130,-0.01,UNDER
pete alonso,NYM,Hits+Runs+RBIs,1.5,-125,-108,−120,−110,-0.01,OVER
geraldo perdomo,AZ,Hits+Runs+RBIs,1.5,-110,-124,−110,−125,-0.01,UNDER
ramon laureano,BAL,Hits+Runs+RBIs,1.5,-103,-132,−120,−115,-0.012,UNDER
alex jackson,BAL,Hits+Runs+RBIs,0.5,-118,-115,−125,−105,-0.012,OVER
gleyber torres,DET,Hits+Runs+RBIs,1.5,-113,-121,−110,−125,-0.013,UNDER
aaron judge,NYY,Hits+Runs+RBIs,2.5,-112,-122,−110,−120,-0.014,UNDER
thomas saggese,STL,Hits+Runs+RBIs,1.5,-112,-122,,,-0.014,UNDER
nolan schanuel,LAA,Hits+Runs+RBIs,1.5,-127,-107,−115,−115,-0.014,OVER
giancarlo stanton,NYY,Hits+Runs+RBIs,1.5,-121,-113,−120,−110,-0.015,OVER
eugenio suarez,AZ,Hits+Runs+RBIs,1.5,-124,-110,−115,−115,-0.017,OVER
brenton doyle,COL,Hits+Runs+RBIs,1.5,-122,-110,−105,−130,-0.017,UNDER
cam smith,HOU,Hits+Runs+RBIs,1.5,-115,-118,−110,−120,-0.017,UNDER
kody clemens,MIN,Hits+Runs+RBIs,1.5,-114,-120,−115,−120,-0.018,UNDER
jose altuve,HOU,Hits+Runs+RBIs,1.5,-122,-110,−115,−115,-0.018,OVER
ceddanne rafaela,BOS,Hits+Runs+RBIs,1.5,-115,-115,−120,−110,-0.019,OVER
seiya suzuki,CHC,Hits+Runs+RBIs,1.5,-122,-112,−115,−115,-0.019,OVER
j.p. crawford,SEA,Hits+Runs+RBIs,1.5,-115,-117,−115,−120,-0.02,UNDER
bryce harper,PHI,Hits+Runs+RBIs,1.5,-121,-113,−110,−125,-0.02,UNDER
edgar quero,CWS,Hits+Runs+RBIs,1.5,-122,-110,−105,−125,-0.02,UNDER
chase meidroth,CWS,Hits+Runs+RBIs,1.5,-122,-112,−110,−125,-0.021,UNDER
mickey moniak,COL,Hits+Runs+RBIs,1.5,-124,-110,−105,−125,-0.021,UNDER
freddie freeman,LAD,Hits+Runs+RBIs,1.5,-124,-109,−110,−120,-0.021,OVER
yoan moncada,LAA,Hits+Runs+RBIs,1.5,-109,-124,−120,−110,-0.021,UNDER
colt keith,DET,Hits+Runs+RBIs,1.5,-113,-120,−120,−110,-0.022,OVER
jo adell,LAA,Hits+Runs+RBIs,1.5,-120,-113,−115,−120,-0.023,OVER
will smith,LAD,Hits+Runs+RBIs,1.5,-114,-120,−120,−115,-0.023,UNDER
kyle manzardo,CLE,Hits+Runs+RBIs,1.5,-110,-122,−120,−110,-0.023,UNDER
nick castellanos,PHI,Hits+Runs+RBIs,1.5,-124,-109,−110,−125,-0.024,OVER
